case,dataset,gt,video_path,source_path,task_prompt,source_exists
Cosmos3_seed101_0036,Cosmos3_seed101,1,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0036.mp4,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/images/0036.png,"The robotic arm pushes the white tape roll on the table a short distance away from the robotic arm. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",True
Cosmos3_seed101_0054,Cosmos3_seed101,1,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0054.mp4,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/images/0054.png,"The robotic arm picks up the yellow cube from the table moves it above the open drawer releases the gripper letting the yellow cube fall into the drawer then closes the gripper pushing the drawer back to the closed position. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",True
Cosmos3_seed101_0055,Cosmos3_seed101,1,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0055.mp4,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/images/0055.png,"The robotic arm picks up the yellow cube from the table moves it above the open drawer releases the gripper letting the yellow cube fall into the drawer then closes the gripper pushing the drawer back to the closed position. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",True
Cosmos3_seed101_0065,Cosmos3_seed101,1,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0065.mp4,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/images/0065.png,"The robotic arm picks up the brown cup from the table and moves the gripper above the plate then releases the gripper to place the cup on the plate. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",True
LVP_0004,LVP,1,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/videos/0004.mp4,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/images/0004.png,"The robotic arm picks up the yellow cube from the table and moves it above the trash bin then releases the gripper so the cube falls into the bin. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",True
LVP_0030,LVP,1,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/videos/0030.mp4,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/images/0030.png,"The robotic arm pulls the brown cube on the table inward a short distance. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",True
LVP_0053,LVP,1,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/videos/0053.mp4,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/images/0053.png,"The robotic arm picks up the yellow cube from the table moves it above the open drawer releases the gripper letting the yellow cube fall into the drawer then closes the gripper pushing the drawer back to the closed position. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",True
LVP_0054,LVP,1,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/videos/0054.mp4,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/images/0054.png,"The robotic arm picks up the yellow cube from the table moves it above the open drawer releases the gripper letting the yellow cube fall into the drawer then closes the gripper pushing the drawer back to the closed position. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",True
LVP_0055,LVP,1,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/videos/0055.mp4,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/images/0055.png,"The robotic arm picks up the yellow cube from the table moves it above the open drawer releases the gripper letting the yellow cube fall into the drawer then closes the gripper pushing the drawer back to the closed position. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",True
LVP_0056,LVP,1,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/videos/0056.mp4,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/images/0056.png,"The robotic arm picks up the yellow cube from the table moves it above the open drawer releases the gripper letting the yellow cube fall into the drawer then closes the gripper pushing the drawer back to the closed position. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",True
